VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

   81   871.790   686.367  0.002  0.010    7.828  112.637  4697.968  6850.329   3.440   4.979    7.045   10.351  870  874  682  690 +7.868687e+01 +2.492559e-02 +1.478407e+03 0.00000 1 None   53    1
   82  1146.091   686.380  0.001  0.011    6.892  112.636  4136.155  6850.303   3.359   5.005    6.880   10.404 1144 1148  682  690 +7.848667e+01 +2.480722e-02 +1.459225e+03 0.00000 1 None   54    1
   83   936.877   692.167  0.001  0.008    7.606  112.438  4564.658  6838.273   3.341   4.940    6.843   10.269  935  939  689  695 +7.390964e+01 +2.461328e-02 +1.281542e+03 0.00000 1 None   55    1
   84  1128.070   692.180  0.001  0.008    6.954  112.438  4173.065  6838.248   3.430   4.910    7.025   10.205 1126 1130  689  695 +7.464836e+01 +2.457338e-02 +1.316038e+03 0.00000 1 None   56    1
   85   804.866   705.419  0.003  0.024    8.057  111.985  4835.039  6810.727   3.779   5.141    7.739   10.687  802  808  702  709 +3.907546e+01 +2.482731e-02 +1.065913e+03 0.00000 1 None   57    2
   86   809.126   705.417  0.003  0.022    8.042  111.985  4826.314  6810.732   3.635   5.142    7.444   10.689  806  812  702  709 +4.339737e+01 +2.483028e-02 +1.129793e+03 0.00000 1 None   57    2
   87  1074.837   720.824  0.001  0.007    7.135  111.459  4282.096  6778.705   3.451   4.839    7.069   10.058 1073 1077  718  724 +7.946182e+01 +2.465936e-02 +1.383064e+03 0.00000 1 None   58    1
   88  1184.864   720.829  0.001  0.007    6.760  111.459  4056.742  6778.694   3.413   4.846    6.991   10.074 1183 1187  718  724 +7.920432e+01 +2.463110e-02 +1.372268e+03 0.00000 1 None   59    1
   89  1007.134   725.793  0.004  0.020    7.366  111.289  4420.762  6768.375   3.724   5.071    7.626   10.541 1004 1010  722  729 +3.178081e+01 +2.458948e-02 +7.998478e+02 0.00000 1 None   60    2
   90  1011.952   725.807  0.003  0.021    7.350  111.289  4410.894  6768.347   3.416   5.112    6.996   10.627 1010 1014  723  729 +2.966318e+01 +2.455497e-02 +5.477629e+02 0.00000 1 None   60    2
   91   845.755   769.158  0.006  0.013    7.917  109.807  4751.291  6678.235   5.020   4.906   10.282   10.197  842  850  766  772 +4.292462e+01 +2.454577e-02 +1.414652e+03 0.00000 1 None   61    1
   92   698.415   777.402  0.006  0.016    8.420  109.525  5053.067  6661.098   4.650   4.918    9.525   10.223  695  701  774  781 +5.322916e+01 +2.510616e-02 +1.379427e+03 0.00000 1 None   62    1
   93   582.721   803.600  0.013  0.038    8.815  108.630  5290.026  6606.641   5.357   5.218   10.972   10.846  579  587  800  807 +2.487123e+01 +2.478031e-02 +9.832986e+02 0.00000 1 None   63    2
   94   587.080   803.597  0.009  0.039    8.800  108.630  5281.098  6606.646   4.921   5.239   10.079   10.890  583  590  800  807 +2.438157e+01 +2.467635e-02 +8.916239e+02 0.00000 1 None   63    2
   95   884.178   813.487  0.005  0.030    7.786  108.292  4672.594  6586.089   4.097   5.065    8.392   10.528  881  887  810  817 +3.414121e+01 +2.496489e-02 +9.425007e+02 0.00000 1 None   64    1
   96   903.472   840.842  0.007  0.010    7.720  107.357  4633.078  6529.226   4.922   4.810   10.082    9.998  900  906  838  844 +5.691961e+01 +2.488989e-02 +1.438911e+03 0.00000 1 None   65    1
   97  1116.127   956.373  0.003  0.024    6.994  103.408  4197.526  6289.074   3.673   5.057    7.524   10.513 1113 1119  953  960 +3.564163e+01 +2.477308e-02 +8.872217e+02 0.00000 1 None   66    2
   98  1120.839   956.363  0.003  0.025    6.978  103.408  4187.875  6289.095   3.425   5.190    7.015   10.789 1119 1123  953  960 +3.466586e+01 +2.482271e-02 +6.813743e+02 0.00000 1 None   66    2
